"gene","category"
"TraesCS1A03G0839000","Ambiguous"
"TraesCS3A03G0954200","Ambiguous"
"TraesCS7A03G0448100","Trans only"
"TraesCS6A03G0703300","Conserved"
"TraesCS2A03G1196500","Trans only"
"TraesCS6A03G0441600","Conserved"
"TraesCS7A03G0964400","Conserved"
"TraesCS5A03G0864700","Conserved"
"TraesCS7A03G0965700","Conserved"
"TraesCS3A03G0776800","Ambiguous"
"TraesCS5A03G1033400","Conserved"
"TraesCS3A03G0601900","Ambiguous"
"TraesCS2A03G1209400","Conserved"
"TraesCS2A03G1030900","Ambiguous"
"TraesCS2A03G1080700","Conserved"
"TraesCS7A03G0479300","Conserved"
"TraesCS1A03G0948200","Conserved"
"TraesCS2A03G1046900","Trans only"
"TraesCS4A03G0313000","Conserved"
"TraesCS2A03G1246600","Ambiguous"
"TraesCS2A03G1062900","Conserved"
"TraesCS2A03G0687300","Ambiguous"
"TraesCS7A03G0810300","Ambiguous"
"TraesCS1A03G0455700","Ambiguous"
"TraesCS5A03G0182400","Ambiguous"
"TraesCS7A03G1159600","Conserved"
"TraesCS1A03G0162800","Ambiguous"
"TraesCS3A03G1253000","Conserved"
"TraesCS2A03G0831200","Ambiguous"
"TraesCS1A03G0478900","Conserved"
"TraesCS4A03G0673100","Conserved"
"TraesCS1A03G0664300","Ambiguous"
"TraesCS4A03G0007700","Ambiguous"
"TraesCS1A03G1038500","Ambiguous"
"TraesCS3A03G0902200","Conserved"
"TraesCS2A03G0263800","Ambiguous"
"TraesCS1A03G0902700","Conserved"
"TraesCS4A03G0747600","Conserved"
"TraesCS2A03G0664500","Trans only"
"TraesCS5A03G0875500","Conserved"
"TraesCS7A03G0564000","Conserved"
"TraesCS4A03G0881400","Ambiguous"
"TraesCS5A03G1166900","Conserved"
"TraesCS1A03G0529900","Ambiguous"
"TraesCS2A03G0705500","Ambiguous"
"TraesCS2A03G1294300","Ambiguous"
"TraesCS5A03G0610500","Ambiguous"
"TraesCS2A03G1223000","Trans only"
"TraesCS5A03G1208500","Ambiguous"
"TraesCS2A03G0840400","Conserved"
"TraesCS5A03G0922200","Conserved"
"TraesCS2A03G0897800","Cis only"
"TraesCS5A03G0893500","Ambiguous"
"TraesCS1A03G1027100","Conserved"
"TraesCS7A03G0565600","Trans only"
"TraesCS2A03G0261600","Ambiguous"
"TraesCS6A03G0962000","Conserved"
"TraesCS7A03G0569000","Ambiguous"
"TraesCS4A03G0129000","Conserved"
"TraesCS5A03G0523800","Ambiguous"
"TraesCS1A03G0674900","Ambiguous"
"TraesCS1A03G0879700","Conserved"
"TraesCS2A03G0673900","Conserved"
"TraesCS3A03G1256900","Ambiguous"
"TraesCS2A03G0833100","Compensatory"
"TraesCS2A03G1236700","Conserved"
"TraesCS5A03G0521300","Ambiguous"
"TraesCS7A03G0304100","Compensatory"
"TraesCS5A03G0197600","Ambiguous"
"TraesCS5A03G0712100","Ambiguous"
"TraesCS7A03G0845800","Ambiguous"
"TraesCS2A03G0647400","Ambiguous"
"TraesCS6A03G0018400","Trans only"
"TraesCS5A03G0735400","Ambiguous"
"TraesCS3A03G0227000","Conserved"
"TraesCS4A03G0700200","Ambiguous"
"TraesCS3A03G1042500","Conserved"
"TraesCS5A03G0926200","Ambiguous"
"TraesCS2A03G0944700","Ambiguous"
"TraesCS7A03G1255900","Conserved"
"TraesCS5A03G0722900","Conserved"
"TraesCS2A03G0936400","Conserved"
"TraesCS3A03G0043800","Ambiguous"
"TraesCS3A03G0197600","Conserved"
"TraesCS5A03G0170500","Ambiguous"
"TraesCS7A03G1188500","Ambiguous"
"TraesCS5A03G0163200","Conserved"
"TraesCS4A03G0016800","Ambiguous"
"TraesCS3A03G0775500","Conserved"
"TraesCS5A03G1050800","Ambiguous"
"TraesCS7A03G0610900","Trans only"
"TraesCS1A03G0435700","Conserved"
"TraesCS4A03G0906100","Conserved"
"TraesCS5A03G0958000","Ambiguous"
"TraesCS4A03G0765000","Ambiguous"
"TraesCS1A03G0595800","Conserved"
"TraesCS2A03G0379600","Ambiguous"
"TraesCS3A03G0352200","Compensatory"
"TraesCS3A03G0193800","Ambiguous"
"TraesCS4A03G0096200","Ambiguous"
"TraesCS7A03G0391600","Compensatory"
"TraesCS2A03G0267700","Ambiguous"
"TraesCS5A03G0241700","Conserved"
"TraesCS7A03G0299800","Ambiguous"
"TraesCS6A03G1045900","Conserved"
"TraesCS1A03G0648300","Ambiguous"
"TraesCS5A03G0960400","Ambiguous"
"TraesCS6A03G0047200","Conserved"
"TraesCS1A03G0174900","Compensatory"
"TraesCS3A03G1137900","Ambiguous"
"TraesCS2A03G0725800","Ambiguous"
"TraesCS3A03G0649600","Ambiguous"
"TraesCS2A03G0758000","Conserved"
"TraesCS1A03G0895300","Conserved"
"TraesCS1A03G0172200","Ambiguous"
"TraesCS4A03G0141900","Ambiguous"
"TraesCS3A03G0040500","Ambiguous"
"TraesCS5A03G0191800","Conserved"
"TraesCS5A03G1158400","Compensatory"
