"gene","category"
"TraesPARA_EIv1.0_0056080","Conserved"
"TraesPARA_EIv1.0_0056110","Ambiguous"
"TraesPARA_EIv1.0_0056180","Ambiguous"
"TraesPARA_EIv1.0_0056320","Conserved"
"TraesPARA_EIv1.0_0056400","Trans only"
"TraesPARA_EIv1.0_0056540","Conserved"
"TraesPARA_EIv1.0_0056600","Ambiguous"
"TraesPARA_EIv1.0_0056620","Ambiguous"
"TraesPARA_EIv1.0_0056630","Conserved"
"TraesPARA_EIv1.0_0056690","Conserved"
"TraesPARA_EIv1.0_0056720","Trans only"
"TraesPARA_EIv1.0_0056760","Conserved"
"TraesPARA_EIv1.0_0057000","Ambiguous"
"TraesPARA_EIv1.0_0057140","Conserved"
"TraesPARA_EIv1.0_0057170","Conserved"
"TraesPARA_EIv1.0_0057190","Ambiguous"
"TraesPARA_EIv1.0_0057330","Ambiguous"
"TraesPARA_EIv1.0_0057440","Ambiguous"
"TraesPARA_EIv1.0_0057450","Ambiguous"
"TraesPARA_EIv1.0_0057660","Ambiguous"
"TraesPARA_EIv1.0_0057870","Ambiguous"
"TraesPARA_EIv1.0_0058040","Conserved"
"TraesPARA_EIv1.0_0058090","Conserved"
"TraesPARA_EIv1.0_0058140","Conserved"
"TraesPARA_EIv1.0_0058440","Ambiguous"
"TraesPARA_EIv1.0_0058530","Ambiguous"
"TraesPARA_EIv1.0_0058540","Conserved"
"TraesPARA_EIv1.0_0058550","Conserved"
"TraesPARA_EIv1.0_0058600","Ambiguous"
"TraesPARA_EIv1.0_0058720","Conserved"
"TraesPARA_EIv1.0_0058860","Conserved"
"TraesPARA_EIv1.0_0058870","Conserved"
"TraesPARA_EIv1.0_0058880","Ambiguous"
"TraesPARA_EIv1.0_0058990","Ambiguous"
"TraesPARA_EIv1.0_0059100","Conserved"
"TraesPARA_EIv1.0_0059130","Cis only"
"TraesPARA_EIv1.0_0059470","Conserved"
"TraesPARA_EIv1.0_0059520","Ambiguous"
"TraesPARA_EIv1.0_0060280","Ambiguous"
"TraesPARA_EIv1.0_0060430","Conserved"
"TraesPARA_EIv1.0_0060630","Ambiguous"
"TraesPARA_EIv1.0_0060770","Ambiguous"
"TraesPARA_EIv1.0_0060810","Conserved"
"TraesPARA_EIv1.0_0061240","Conserved"
"TraesPARA_EIv1.0_0061290","Conserved"
"TraesPARA_EIv1.0_0061350","Conserved"
"TraesPARA_EIv1.0_0061390","Ambiguous"
"TraesPARA_EIv1.0_0061450","Conserved"
"TraesPARA_EIv1.0_0061580","Conserved"
"TraesPARA_EIv1.0_0061620","Trans only"
"TraesPARA_EIv1.0_0061710","Ambiguous"
"TraesPARA_EIv1.0_0061940","Ambiguous"
"TraesPARA_EIv1.0_0061960","Conserved"
"TraesPARA_EIv1.0_0062060","Conserved"
"TraesPARA_EIv1.0_0062240","Conserved"
"TraesPARA_EIv1.0_0062450","Conserved"
"TraesPARA_EIv1.0_0062510","Conserved"
"TraesPARA_EIv1.0_0062520","Conserved"
"TraesPARA_EIv1.0_0062550","Conserved"
"TraesPARA_EIv1.0_0062620","Conserved"
"TraesPARA_EIv1.0_0062860","Ambiguous"
"TraesPARA_EIv1.0_0062870","Conserved"
"TraesPARA_EIv1.0_0062980","Conserved"
"TraesPARA_EIv1.0_0063120","Conserved"
"TraesPARA_EIv1.0_0063180","Ambiguous"
"TraesPARA_EIv1.0_0063280","Ambiguous"
"TraesPARA_EIv1.0_0063320","Conserved"
"TraesPARA_EIv1.0_0063600","Ambiguous"
"TraesPARA_EIv1.0_0063640","Conserved"
"TraesPARA_EIv1.0_0064480","Conserved"
"TraesPARA_EIv1.0_0065110","Conserved"
"TraesPARA_EIv1.0_0067030","Trans only"
"TraesPARA_EIv1.0_0067410","Conserved"
"TraesPARA_EIv1.0_0068530","Ambiguous"
"TraesPARA_EIv1.0_0069740","Conserved"
"TraesPARA_EIv1.0_0070910","Conserved"
"TraesPARA_EIv1.0_0076290","Conserved"
"TraesPARA_EIv1.0_0076340","Ambiguous"
"TraesPARA_EIv1.0_0079530","Conserved"
"TraesPARA_EIv1.0_0081600","Conserved"
"TraesPARA_EIv1.0_0082290","Conserved"
"TraesPARA_EIv1.0_0083290","Conserved"
"TraesPARA_EIv1.0_0085820","Ambiguous"
"TraesPARA_EIv1.0_0085830","Conserved"
"TraesPARA_EIv1.0_0085840","Trans only"
"TraesPARA_EIv1.0_0086000","Ambiguous"
"TraesPARA_EIv1.0_0086760","Conserved"
"TraesPARA_EIv1.0_0086830","Conserved"
"TraesPARA_EIv1.0_0086840","Ambiguous"
"TraesPARA_EIv1.0_0087700","Trans only"
"TraesPARA_EIv1.0_0087760","Ambiguous"
"TraesPARA_EIv1.0_0088200","Ambiguous"
"TraesPARA_EIv1.0_0088320","Ambiguous"
"TraesPARA_EIv1.0_0088910","Conserved"
"TraesPARA_EIv1.0_0088960","Ambiguous"
"TraesPARA_EIv1.0_0089060","Conserved"
"TraesPARA_EIv1.0_0089710","Conserved"
"TraesPARA_EIv1.0_0090310","Conserved"
"TraesPARA_EIv1.0_0090330","Ambiguous"
"TraesPARA_EIv1.0_0090880","Ambiguous"
"TraesPARA_EIv1.0_0091560","Ambiguous"
"TraesPARA_EIv1.0_0091680","Conserved"
"TraesPARA_EIv1.0_0091690","Ambiguous"
"TraesPARA_EIv1.0_0092430","Ambiguous"
"TraesPARA_EIv1.0_0092480","Conserved"
"TraesPARA_EIv1.0_0093270","Conserved"
"TraesPARA_EIv1.0_0093420","Conserved"
"TraesPARA_EIv1.0_0093810","Ambiguous"
